Player,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,Best Move
2,0,0,0,2,0,2,1,0,2,1,1,1,2,1,0,2,0,1,1,2,1,2,2,2,1,1,2,1,2,1,2,2,1,2,1,2,2,0,1,2,0,2,2,2,2,1,0,0,0,2,2,2,2,2,0,0,1,2,2,2,2,2,2,0,2
1,0,0,2,2,0,2,1,0,2,1,2,1,2,1,0,2,0,1,2,2,1,2,2,2,1,1,2,1,2,1,2,2,1,2,1,2,2,0,1,2,0,2,2,2,2,1,0,0,0,2,2,2,2,2,0,0,1,2,2,2,2,2,2,0,63
2,0,0,2,2,0,2,1,0,2,1,2,1,2,1,0,2,0,1,2,2,1,2,2,2,1,1,2,1,2,1,2,2,1,2,1,2,2,0,1,2,0,2,2,2,2,1,0,0,0,2,2,2,2,2,0,0,1,1,1,1,1,1,1,1,0
1,2,0,2,2,0,2,1,0,2,2,2,1,2,1,0,2,0,1,2,2,1,2,2,2,1,1,2,1,2,1,2,2,1,2,1,2,2,0,1,2,0,2,2,2,2,1,0,0,0,2,2,2,2,2,0,0,1,1,1,1,1,1,1,1,40
2,2,0,2,2,0,2,1,0,2,2,2,1,2,1,0,2,0,1,2,2,1,2,2,2,1,1,2,1,2,1,2,2,1,2,1,2,2,0,1,2,1,1,1,1,1,1,0,0,0,1,2,2,2,2,0,0,1,1,1,1,1,1,1,1,47
1,2,0,2,2,0,2,1,0,2,2,2,2,2,1,0,2,0,1,2,2,2,2,2,2,1,1,2,1,2,2,2,2,1,2,1,2,2,0,2,2,1,1,1,1,1,1,0,2,0,1,2,2,2,2,0,0,1,1,1,1,1,1,1,1,46
2,2,0,2,2,0,2,1,0,2,2,2,2,2,1,0,2,0,1,2,2,2,2,2,2,1,1,2,1,2,2,2,2,1,2,1,2,2,0,2,2,1,1,1,1,1,1,1,2,0,1,2,2,2,1,0,0,1,1,1,1,1,1,1,1,48
1,2,0,2,2,0,2,1,0,2,2,2,2,2,1,0,2,0,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,2,2,2,2,0,2,2,1,2,1,1,1,1,1,2,2,2,2,2,2,1,0,0,1,1,1,1,1,1,1,1,37
2,2,0,2,2,0,2,1,0,2,2,2,2,2,1,0,2,0,1,2,2,2,1,2,2,1,1,2,2,2,1,2,2,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,2,2,2,2,2,2,1,0,0,1,1,1,1,1,1,1,1,16
1,2,0,2,2,0,2,1,0,2,2,2,2,2,1,0,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,1,2,1,1,1,2,2,2,2,1,2,1,1,1,2,2,2,2,2,2,1,0,0,1,1,1,1,1,1,1,1,1
2,2,1,2,2,0,2,1,0,2,1,1,2,2,1,0,2,2,1,2,1,2,1,2,2,2,1,2,2,1,1,2,2,2,1,2,1,1,1,2,2,2,2,1,2,1,1,1,2,2,2,2,2,2,1,0,0,1,1,1,1,1,1,1,1,4
1,2,1,2,2,2,2,1,0,2,1,1,2,2,2,0,2,2,1,2,1,2,1,2,2,2,1,2,2,1,1,2,2,2,1,2,1,1,1,2,2,2,2,1,2,1,1,1,2,2,2,2,2,2,1,0,0,1,1,1,1,1,1,1,1,14
2,2,1,2,2,2,2,1,0,2,1,1,1,1,1,1,2,2,1,2,1,2,1,1,2,2,1,2,2,1,1,1,2,2,1,2,1,1,1,1,2,2,2,1,2,1,1,1,2,2,2,2,2,2,1,0,0,1,1,1,1,1,1,1,1,54
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,1,2,1,0,0,0,0,0,2,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,1,2,1,0,0,0,0,0,2,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,1,2,2,2,0,0,0,0,2,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,2,0,0,0,0,0,1,1,2,2,0,0,0,0,2,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,2,2,2,0,0,0,0,2,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,1,1,0,0,0,2,2,2,1,2,0,0,0,0,2,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,1,2,2,0,0,0,2,2,2,1,2,0,0,0,0,2,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,1,1,2,2,0,0,0,2,1,2,1,2,0,0,0,0,2,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,1,1,2,2,0,0,0,2,1,2,1,2,0,0,0,0,2,2,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,1,2,0,0,0,2,1,1,1,2,0,0,0,0,1,2,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,1,2,0,0,0,2,1,1,1,2,0,0,0,0,1,2,0,0,0,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,0,0,0,2,1,1,1,1,0,0,0,0,1,2,0,1,0,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,0,0,0,2,2,2,2,2,2,0,0,0,1,2,0,1,0,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37
2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,0,0,0,2,2,1,1,2,2,0,0,0,1,1,1,1,0,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,2,0,0,1,1,1,1,2,0,0,0,2,2,1,2,2,2,0,0,0,1,2,1,1,0,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,2,0,0,1,1,1,1,2,0,0,0,2,2,1,2,1,2,0,0,0,1,2,1,1,1,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,0,0,0,0,2,0,1,0,0,0,0,2,0,1,2,0,0,1,2,1,1,2,0,0,0,2,2,1,2,1,2,0,0,0,1,2,1,1,1,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
2,0,0,0,0,0,2,0,1,0,0,0,0,2,0,1,2,0,0,1,2,1,1,2,0,0,1,1,1,1,2,1,2,0,0,0,1,2,1,1,1,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
1,0,0,0,0,0,2,0,1,0,0,0,0,2,0,1,2,0,0,1,2,1,1,2,0,0,1,1,1,1,2,1,2,0,0,2,2,2,1,1,1,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
2,0,0,0,0,0,2,0,1,0,0,0,0,2,0,1,2,0,0,1,2,1,1,2,0,0,1,1,1,1,2,1,2,0,0,2,2,1,1,1,1,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
1,0,0,0,0,0,2,0,1,0,0,0,0,2,0,1,2,0,0,1,2,1,1,2,0,2,2,2,2,2,2,1,2,0,0,2,2,1,1,1,1,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
2,0,0,0,0,0,2,0,1,0,0,0,0,2,0,1,2,0,0,1,2,1,1,2,0,2,2,1,2,2,2,1,2,0,0,1,2,1,1,1,1,2,2,1,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6
1,0,0,0,0,0,2,2,1,0,0,0,0,2,0,2,2,0,0,1,2,1,1,2,0,2,2,1,2,2,2,1,2,0,0,1,2,1,1,1,1,2,2,1,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2,0,0,0,0,1,1,1,1,0,0,0,0,1,0,2,2,0,0,1,2,1,1,2,0,2,2,1,2,2,2,1,2,0,0,1,2,1,1,1,1,2,2,1,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,54
1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,2,2,0,0,1,2,1,1,2,0,2,2,1,2,2,2,1,2,0,0,1,2,2,1,1,1,2,2,1,1,2,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,32
2,0,0,0,0,1,1,1,1,0,0,0,0,1,0,2,2,0,0,1,2,1,1,2,0,2,1,1,2,2,2,1,2,1,0,1,2,2,1,1,1,2,1,1,1,2,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,49
1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,2,2,0,0,1,2,1,1,2,0,2,1,1,2,2,2,1,2,1,0,1,2,2,1,1,1,2,1,2,1,2,2,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,46
2,0,0,0,0,1,1,1,1,0,0,0,0,1,0,2,2,0,0,1,2,1,1,2,0,2,1,1,2,2,2,1,2,1,0,1,2,2,1,1,1,2,1,2,1,1,1,1,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,33
1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,2,2,0,0,1,2,1,1,2,0,2,1,2,2,2,2,1,2,1,2,2,2,2,1,1,1,2,2,2,1,1,1,1,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,16
2,0,0,0,0,1,1,1,1,0,0,0,0,1,0,2,2,1,0,1,2,1,1,2,0,1,1,2,2,2,2,1,2,1,2,2,2,2,1,1,1,2,2,2,1,1,1,1,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,9
1,0,0,0,0,1,1,1,1,0,2,0,0,1,0,2,2,1,0,2,2,1,1,2,0,1,1,2,2,2,2,1,2,1,2,2,2,2,1,1,1,2,2,2,1,1,1,1,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,63
2,0,0,0,0,1,1,1,1,0,2,0,0,1,0,2,2,1,0,2,2,1,1,2,0,1,1,2,2,2,2,1,2,1,2,2,2,2,1,1,1,2,2,2,1,1,1,1,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,13
1,0,0,0,0,1,1,1,1,0,2,0,0,1,2,2,2,1,0,2,2,2,2,2,0,1,1,2,2,2,2,1,2,1,2,2,2,2,1,1,1,2,2,2,1,1,1,1,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,11
2,0,0,0,0,1,1,1,1,0,2,0,1,1,2,2,2,1,0,1,1,1,2,2,0,1,1,2,1,2,1,1,2,1,2,2,1,2,1,1,1,2,2,2,1,1,1,1,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,47
1,0,0,0,0,1,1,1,1,0,2,0,1,1,2,2,2,1,0,1,1,1,2,2,0,1,1,2,1,2,1,1,2,1,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2
2,0,0,1,0,1,1,1,1,0,1,0,1,1,2,2,2,1,0,1,1,1,2,2,0,1,1,2,1,2,1,1,2,1,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1,2,0,1,0,1,1,1,1,0,2,0,1,1,2,2,2,1,0,2,1,1,2,2,0,1,1,2,2,2,1,1,2,1,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,23
2,2,0,1,0,1,1,1,1,0,2,0,1,1,2,1,1,1,0,2,1,1,1,1,1,1,1,2,2,2,1,1,2,1,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,8
1,2,0,1,0,1,1,1,1,2,2,0,1,1,2,1,1,2,0,2,1,1,1,1,1,2,1,2,2,2,1,1,2,2,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,52
2,2,0,1,0,1,1,1,1,2,2,0,1,1,2,1,1,2,0,2,1,1,1,1,1,2,1,2,2,1,1,1,2,2,2,1,1,1,1,1,2,2,2,2,1,1,1,2,2,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,1,53
1,2,0,1,0,1,1,1,1,2,2,0,1,1,2,1,1,2,0,2,1,1,2,1,1,2,1,2,2,1,2,1,2,2,2,1,2,1,2,1,2,2,2,2,1,2,2,2,2,0,2,1,0,1,2,1,0,0,0,0,0,0,0,0,1,48
2,2,0,1,0,1,1,1,1,2,2,0,1,1,2,1,1,2,0,2,1,1,2,1,1,2,1,2,2,1,2,1,2,2,2,1,2,1,2,1,2,2,1,2,1,2,2,2,2,1,1,1,0,1,2,1,0,0,0,0,0,0,0,0,1,51
1,2,0,1,0,1,1,1,1,2,2,0,1,1,2,1,1,2,0,2,1,1,2,1,1,2,1,2,2,1,2,1,2,2,2,1,2,1,2,1,2,2,1,2,2,2,2,2,2,1,1,1,2,2,2,1,0,0,0,0,0,0,0,0,1,55
2,2,0,1,0,1,1,1,1,2,2,0,1,1,2,1,1,2,0,2,1,1,2,1,1,2,1,2,2,1,2,1,1,2,2,1,2,1,1,1,1,2,1,2,2,2,2,1,1,1,1,1,2,2,2,1,1,0,0,0,0,0,0,0,1,59
1,2,0,1,0,1,1,1,1,2,2,0,1,1,2,1,1,2,0,2,1,1,2,1,1,2,1,2,2,1,2,1,1,2,2,1,2,1,1,1,1,2,2,2,2,2,2,1,1,1,1,2,2,2,2,1,1,0,0,0,2,0,0,0,1,58
2,2,0,1,0,1,1,1,1,2,2,0,1,1,2,1,1,2,0,2,1,1,2,1,1,2,1,2,2,1,2,1,1,2,2,1,2,1,1,1,1,2,2,1,2,1,2,1,1,1,1,1,1,2,2,1,1,0,0,1,2,0,0,0,1,3
1,2,0,1,2,1,1,1,1,2,2,0,2,2,2,1,1,2,0,2,2,1,2,1,1,2,1,2,2,1,2,1,1,2,2,1,2,1,1,1,1,2,2,1,2,1,2,1,1,1,1,1,1,2,2,1,1,0,0,1,2,0,0,0,1,60
2,2,0,1,2,1,1,1,1,2,2,0,2,2,2,1,1,2,0,2,2,1,2,1,1,2,1,2,2,1,2,1,1,2,2,1,2,1,1,1,1,2,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,56
1,2,0,1,2,1,1,1,1,2,2,0,2,2,2,1,1,2,0,2,2,1,2,1,1,2,1,2,2,1,2,1,1,2,2,1,2,1,1,1,1,2,2,2,2,1,2,1,1,2,2,1,1,1,1,1,1,2,0,1,1,1,0,0,1,10
2,2,0,1,2,1,1,1,1,2,2,1,1,1,1,1,1,2,0,1,1,1,2,1,1,2,1,1,2,1,2,1,1,2,2,1,2,1,1,1,1,2,2,2,2,1,2,1,1,2,2,1,1,1,1,1,1,2,0,1,1,1,0,0,1,57
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2,2,0,0,0,0,0,2,1,1,1,0,0,0,0,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2,2,0,0,0,0,0,2,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51
1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2,2,0,0,0,0,0,2,2,1,1,0,0,0,0,0,2,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,25
2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2,2,0,0,0,0,1,1,1,1,1,0,0,0,0,0,2,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,21
1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2,2,2,0,0,0,1,1,1,2,1,0,0,0,0,0,2,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4
2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,2,0,0,0,1,1,1,1,1,0,0,0,0,0,2,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,17
1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,2,2,1,2,0,0,0,1,2,1,1,1,0,0,0,0,0,2,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,14
2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,2,2,2,1,1,0,0,0,1,2,1,1,1,0,0,0,0,0,2,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,22
1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,2,2,2,2,2,2,0,0,1,2,1,1,2,0,0,0,0,0,2,2,1,1,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,59
2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,2,2,2,2,2,2,0,0,1,2,1,1,2,0,0,0,0,0,1,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,7
1,0,0,0,0,1,0,0,2,0,0,0,0,1,0,2,0,0,2,2,2,2,2,2,0,0,1,2,1,1,2,0,0,0,0,0,1,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,45
2,0,0,0,0,1,0,0,2,0,0,0,0,1,0,2,0,0,2,2,2,2,2,2,0,0,1,2,1,1,2,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,46
1,0,0,0,0,1,0,0,2,0,0,0,0,1,0,2,0,0,2,2,2,2,2,2,0,0,1,2,1,2,2,0,0,0,0,0,1,1,2,1,0,0,0,0,1,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,47
2,0,0,0,0,1,0,0,2,0,0,0,0,1,0,2,0,0,2,2,2,2,2,2,0,0,1,2,1,2,2,0,0,0,0,0,1,1,2,1,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,44
1,0,0,0,0,1,0,0,2,0,0,0,0,1,0,2,0,0,2,2,2,2,2,2,0,0,1,2,1,2,2,0,0,0,0,0,2,2,2,1,0,0,0,0,1,2,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,15
2,0,0,0,0,1,0,0,2,0,0,0,0,1,0,2,1,0,2,2,2,2,2,1,0,0,1,2,1,2,1,0,0,0,0,0,2,1,2,1,0,0,0,0,1,2,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,32
1,0,0,0,0,1,0,0,2,0,0,0,0,1,0,2,1,0,2,2,2,2,2,1,0,0,2,2,1,2,1,0,0,2,0,0,2,1,2,1,0,0,0,0,1,2,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,11
2,0,0,0,0,1,0,0,2,0,0,0,1,1,0,2,1,0,2,2,1,1,2,1,0,0,2,2,1,2,1,0,0,2,0,0,2,1,2,1,0,0,0,0,1,2,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,54
1,0,0,0,0,1,0,0,2,0,0,0,1,1,0,2,1,0,2,2,1,1,2,1,0,0,2,2,2,2,1,0,0,2,0,0,2,2,2,1,0,0,0,0,1,2,2,1,1,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,16
2,0,0,0,0,1,0,0,2,0,0,0,1,1,0,2,1,1,1,1,1,1,2,1,0,0,2,2,2,2,1,0,0,2,0,0,2,2,2,1,0,0,0,0,1,2,2,1,1,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,8
1,0,0,0,0,1,0,0,2,2,0,0,1,1,0,2,1,1,2,1,1,1,2,1,0,0,2,2,2,2,1,0,0,2,0,0,2,2,2,1,0,0,0,0,1,2,2,1,1,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0
2,1,0,0,0,1,0,0,2,1,0,0,1,1,0,2,1,1,2,1,1,1,2,1,0,0,2,2,2,2,1,0,0,2,0,0,2,2,2,1,0,0,0,0,1,2,2,1,1,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,55
1,1,0,0,0,1,0,0,2,1,0,0,1,1,0,2,1,1,2,1,1,1,2,1,0,0,2,2,2,2,1,0,0,2,0,0,2,2,2,1,0,0,0,0,1,2,2,2,1,0,0,0,1,0,0,2,2,0,0,0,1,0,0,0,0,34
2,1,0,0,0,1,0,0,2,1,0,0,1,1,0,2,1,1,2,1,1,1,2,1,0,0,1,1,1,2,1,0,0,2,0,1,1,1,1,1,0,0,0,0,1,2,2,2,1,0,0,0,1,0,0,2,2,0,0,0,1,0,0,0,0,3
1,1,0,0,2,1,0,0,2,1,0,0,1,2,0,2,1,1,2,1,1,1,2,1,0,0,1,1,1,2,1,0,0,2,0,1,1,1,1,1,0,0,0,0,1,2,2,2,1,0,0,0,1,0,0,2,2,0,0,0,1,0,0,0,0,13
2,1,0,0,2,1,0,0,2,1,0,0,1,1,1,1,1,1,2,1,1,1,1,1,0,0,1,1,1,2,1,0,0,2,0,1,1,1,1,1,0,0,0,0,1,2,2,2,1,0,0,0,1,0,0,2,2,0,0,0,1,0,0,0,0,39
1,1,0,0,2,1,0,0,2,1,0,0,1,1,1,1,1,1,2,1,1,1,1,1,0,0,1,1,1,2,1,0,0,2,0,1,1,1,1,1,2,0,0,0,1,2,2,2,2,0,0,0,1,0,0,2,2,0,0,0,1,0,0,0,0,62
